FID,OBJECTID,SLUM_CODE,SLUM_NAME,SRNO,CA,WARD_2017,PRABHAG_20,VILLEGE,LANDMARK,Road_Abutt,DECLARATIO,DECLARE_DT,DECLARE_AR,APPROX_HH,AREA_SQM,SNO_CTSNO_,OWNERSHIP,TENEBILITY,LANDUSE,POPULATION,SRA_STATUS,RAY_CODE_N,GIS_ID,SLUM_RATIN,Shape_Leng,Shape_Area,SCHEME_COV,DENSITY
187,475,1205141703,49A/2 BHAWANI PETH,414,CA-1,14 BHAVANI PETH,17 RASTA PETH RAVIWAR PETH,BHAWANI PETH,BURUD AALI CHOWK,INTERNAL PETH ROAD,NOT DECLARED, , ,35,1492.170087,"CTS.NO.49A1, 49A2, 49B",PRIVATE,TENABLE,RESERVARION CPG-1  RESIDENTIAL ZONE .,210,NO,0909,BHAV4808,75,165.7375871,1492.170087, ,235
188,476,1205141709,MENKAR WADA,420,CA-1,14 BHAVANI PETH,17 RASTA PETH RAVIWAR PETH,GANESH PETH,MENKAR WADA,INTERNAL PETH ROAD,NOT DECLARED, , ,35,2090.364166,"CTS.NO.550 TO 555, 546, 547, 762",PRIVATE,TENABLE,RESERVARION PG-4 &  RESIDENTIAL ZONE,210,NO,0956,BHAV4809,71,189.4335668,2090.364166, ,167
189,477,1205141701,112 GANESH PETH,412,CA-1,14 BHAVANI PETH,17 RASTA PETH RAVIWAR PETH,GANESH PETH,DULYA MARUTI CHOWK,INTERNAL PETH ROAD,NOT DECLARED, , ,32,635.065339,"CTS.NO.111, 112",PRIVATE + PMC + DHARMASHALA,TENABLE,EWS ZONE,192,PRAPOSAL SUBMITTED BY SAMYAK GRUHANIRMAN,0901,BHAV4806,79,105.748286,635.065339, ,504
190,478,1204124101,KEDARE VASTI,373,CA-1,12 KONDHWA YEVALEWADI,41 KONDHWA BU YEVALEWADI,KONDWA BU,WATER TANK,24M DP ROAD,NOT DECLARED, , ,132,4748.576231,S.NO.47,PMC + STATE GOVT,UNTENABLE,RESERVATION WATER WARKS WW-5,792,NO,1516,KOND6202,53,304.622521,4748.576231, ,278
191,479,1201010502,KALYANI NAGAR BRIDGE SLUM,13,CA-3,01 NAGAR ROAD VADGAONSHERI,05 VADGAONSHERI KALYANI NAGAR,YERAWADA,KALYANI NAGAR BRIDGE,30M DP ROAD,NOT DECLARED, , ,63,3743.472071,FP.NO.70/18,PMC,UNTENABLE,SERVICES ZONE,378,NO,0709,NAGA1705,59,257.5645135,3743.472071, ,168
192,480,1203091304,GUPTE PLOT,287,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,NAL STOP SNDT COLLEGE,36M DP ROAD,DECLARED,MGG 10/11/1983 Pg 3006,921.66 SQM,41,555.6752355,FP.NO.3,PRIVATE,TENABLE,RESIDENTIAL ZONE,246,NO,0404,WARJ3508,88,109.2049214,555.6752355, ,738
193,481,1201032010,KACHI VASTI,71,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,SANGAMWADI TPS,SSPMS COLLEGE GROUND,NO ACCESS ROAD,DECLARED,MGG 31/10/1984 Pg 2,1133 SQM,20,1905.367206,"FP.NO.91, 94",PRIVATE,UNTENABLE,GARDEN PSP ZONE,120,NO,0526,DHOL2217,59,175.0177474,1905.367206, ,105
194,482,1205131615,MARIAMMA NAGAR SHIVAJI STADIUM,390,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,TPS-I,MARIAMMA NAGAR SHIVAJI STADIUM,INTERNAL PETH ROAD,NOT DECLARED, , ,389,2863.665248,"FP.NO.902, 903, 903A, 904A, 905",PRIVATE,COMPLETED,EWS + RESIDENTIAL ZONE,2334,SRA SCHEME COMPLETED BY KEDAR ASSOCIATES,0540,DHOL2312,76,401.5727647,2863.665248, ,1358
195,171,1205132905,DANDEKAR BRIDGE 214/134,399,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,DANDEKAR BRIDGE,45M DP ROAD,DECLARED,MGG 22/12/1983 Pg 3431,16389.76 SQM,526,19290.57679,"FP.NO.1A, 2B",PRIVATE + PMC,TENABLE,EWS ZONE,3156,PRAPOSAL SUBMITTED BY NAIKNAVARE DEVELOPERS,1104,KASB5102,79,579.6480425,19290.57679, ,273
196,172,1203083301,ANNA DANGAT NAGAR,277,CA-1,08 SINHAGAD ROAD,33 VADAGAOV DHAYRI SUNCITY,WADGAON BU,SINHAGAD ROAD,INTERNAL ROAD,NOT DECLARED, , ,90,1320.353346,"S.NO.69, 70, 71 BUT NEEDS CONFIRMATION",PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL + 7.5M CANAL ROAD,540,NO,0804,TILK5401,80,160.1540017,1320.353346, ,682
197,173,1203083303,KAMBALE VASTI,279,CA-1,08 SINHAGAD ROAD,33 VADAGAOV DHAYRI SUNCITY,DHAYRI,DHAYARI PHATA ROAD,INTERNAL ROAD,NOT DECLARED, , ,40,5315.895777,S.No.14,PRIVATE,TENABLE,RESIDENTIAL ZONE,240,NO,0825,TILK5403,77,324.4713128,5315.895777, ,75
198,174,1203083304,VIKAS NAGAR VADGAON BK.1,280,CA-1,08 SINHAGAD ROAD,33 VADAGAOV DHAYRI SUNCITY,WADGAON BU,WADGAON BK,12M DP ROAD,NOT DECLARED, , ,1145,6034.684912,S.NO.43,PRIVATE + PMC + STATE GOVT,UNTENABLE,GAOTHAN BDP4,6870,NO,0839,TILK5502,54,438.9370583,6034.684912, ,1897
199,175,1203083012,JAI BHAVANI JANATA VASAHAT,261,CA-1,08 SINHAGAD ROAD,30 JANTA VASAHAT DATTAWADI,TPS-III,PARVATI PAYAHA,18M DP ROAD,DECLARED,MGG 22/12/1983 Pg 3430,84452 SQM,1850,17547.53401,"FP.NO.517, 517A, 517B, 517C",PRIVATE + PMC + STATE GOVT + DEVASTHAN,UNTENABLE,RESERVARION PK-3 SERVICES ZONE,11100,NO,0817,TILK5601,54,797.0652392,17547.53401, ,1054
200,176,1202061109,RAUTWADI KELEWADI,214,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,PAUD PHATA,30M DP ROAD,DECLARED,MGG 21/06/1984 Pg 1949,26676 SQM,1801,16154.73186,S.NO.44,PRIVATE,TENABLE,RESERVATION SI-8,10806,PRAPOSAL SUBMITTED BY KUMAR SINEW DEVELOPERS P LTD,0316,KOTH2607,75,564.3008818,16154.73186, ,1115
201,177,1202061108,RAJIV GANDHI PARK KELEWADI,213,CA-2,06 KOTHRUD BAVDHAN,11 RAMBAG COLONY SHIVTIRTH,ERANDWANA,KELEWADI,DP ROAD,DECLARED,MGG 21/06/1984 Pg, ,354,10239.43839,S.NO.44,PRIVATE,TENABLE,EWS ZONE,0,PRAPOSAL SUBMITTED BY KUMAR BUILDERS,0315,KOTH2606,74,476.3026243,10239.43839, ,346
202,178,1202051423,WADAR WADI SANGANNA MITRA MANADAL SHIVAJI NAGAR,199,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,JANWADI ROAD,24M DP ROAD,NOT DECLARED, , ,1000,25807.23995,"FP.NO.391, 882, 387, 388, 385, 340",PRIVATE,TENABLE,EWS ZONE,6000,NO,0251,GHOL2509,68,750.1448909,25807.23995, ,387
203,179,1202051415,RAMOSHI WADI SHIVAJI NAGAR,191,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,BHAMBHURDA,JANWADI GOKHALE NAGAR,24M DP ROAD,DECLARED,MGG 28/07/1983 Pg 1652,7000 SQM,1264,33008.47772,S.NO.100/1A,PRIVATE,TENABLE,RESIDENTIAL ZONE,7584,NO,0237,GHOL2507,83,741.0167023,33008.47772, ,383
204,180,1203093105,WADAR VASTI KARVE NAGAR,304,CA-2,09 WARJE KARVE NAGAR,31 KARVE NAGAR,HINGNE BU,KARVE INSTITUTE,15M DP ROAD,DECLARED,MGG 31/10/1984 Pg 5,12759 SQM,400,11593.04239,S.NO.53,PRIVATE + PMC,TENABLE,EWS ZONE,2400,NO,0417,WARJ3003,74,489.4071857,11593.04239, ,345
205,181,1203093102,KAMANA VASAHAT GAIKWAD CHAWL MAVLE AALI KARVE NAGAR,301,CA-2,09 WARJE KARVE NAGAR,31 KARVE NAGAR,HINGNE BU,KAMANA VASAHAT,42M DP ROAD,NOT DECLARED, , ,1614,75552.19426,"S.NO.18P, 23, 24, 58",PRIVATE + STATE GOVT,TENABLE,EWS ZONE RESIDENTIAL ZONE,9684,NO,0406,WARJ3202,68,1207.4926,75552.19426, ,214
206,182,1202061207,SHRAVANDHARA KOTHRUD,222,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,KOTHRUD,SHRAVANDHARA KOTHRUD,18M DP ROAD,NOT DECLARED, , ,600,10698.70339,"S.NO.46, 47",PRIVATE + PMC,TENABLE,EWS ZONE,3600,PRAPOSAL SUBMITTED BY KIRTIVRDHAN DEVELOPERS,0414,WARJ3302,74,416.0975782,10698.70339, ,561
207,183,1202061205,LAXMI NAGAR DAHANUKAR COLONY,220,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,KOTHRUD,DAHANUKAR COLONY,30M DP ROAD,NOT DECLARED, , ,821,27659.80088,"S.NO.26A1, 26B, 30",PRIVATE,UNTENABLE,"FOREST, HTHS AND DP ROAD",4926,NO,0407,WARJ3301,49,840.284453,27659.80088, ,297
208,184,1203091302,DASHBHUJA NAGAR,285,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,ERANDWANA,DASHABHUJA GANAPATI MANDIR,36M DP ROAD,DECLARED,MGG 24/11/1994 Pg,"1500, 2500 SQM",54,1993.817964,S.NO.42,PRIVATE,TENABLE,RESIDENTIAL ZONE,324,NO,0402,WARJ3501,86,232.3165177,1993.817964, ,271
209,185,1203073508,S.NO.62C MORE VASTI AMBIL NALA PARVATI,233,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,PADMAVATI TEMPLE KATRAJ ROAD,INTERNAL ROAD,DECLARED,MGG 31/10/1984 Pg 2,1151 SQM,101,4697.140302,"S.NO.62, 63",PRIVATE + PMC,UNTENABLE,GREEN BELT ZONE,606,NO,1009,SAHA6706,61,612.0455144,4697.140302, ,215
210,186,1203073510,S.NO.66 75 TALJAI PARVATI,235,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,TALAJAI HILL,24M DP ROAD,DECLARED,MGG 28/07/1983 Pg 1649,15157.5 SQM,2238,56906.44171,"S.NO.74, 66, 75",PRIVATE,TENABLE,SI ZONE,13428,NO,1012,SAHA6804,79,1185.564975,56906.44171, ,393
211,187,1205152801,DAIS PLOT GULTEKADI,477,CA-1,15 BIBVEWADI,28 SALISBURY PARK MAHARSHI NAGAR,TPS-III,JAWAHARLAL NEHARU ROAD GULTEKDI,18M 30M DP ROAD,DECLARED,MGG 23/02/1984 Pg 818 819,28978.17 SQM,1391,25008.52437,"FP.NO.429, 430, Canal, 430A-1",PRIVATE,TENABLE,EWS ZONE + HCMTR + CANAL,8346,NO,1404,BIBE6401,73,879.8608343,25008.52437, ,556
212,188,1202061002,NEW LAXMI NAGAR,201,CA-2,06 KOTHRUD BAVDHAN,10 BAVDHAN KOTHRUD DEPO,KOTHRUD,VANAJ INDUSTRIES,42M DP ROAD,NOT DECLARED, , ,174,3930.720337,S.NO.84/165,PRIVATE,TENABLE,EWS ZONE,1044,NO,0313,KOTH2804,72,339.5951389,3930.720337, ,443
213,189,1202061208,SHRIRAM COLONY,223,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,KOTHRUD,VANAJ INDUSTRIES,36M DP ROAD,NOT DECLARED, , ,79,1248.592607,S.NO.82,PRIVATE,TENABLE,RESIDENTIAL ZONE,474,NO,0321,KOTH2809,80,137.8302297,1248.592607, ,633
214,190,1202061006,SHASTRI NAGAR SIDDIVINAYAK COLONY KOTHRUD,205,CA-2,06 KOTHRUD BAVDHAN,10 BAVDHAN KOTHRUD DEPO,KOTHRUD,SIDDHIVINAYAK COLONY,INTERNAL LAYOUT ROAD,DECLARED,MGG 31/10/1984 Pg 5,16610 SQM,1500,62596.54409,"S.NO.83, 84, 164, 165",PRIVATE,TENABLE,EWS ZONE,9000,NO,0320,KOTH2808,73,1113.739458,62596.54409, ,240
215,191,1202061204,GADHAVE COLONY,219,CA-2,06 KOTHRUD BAVDHAN,12 MAYUR COLONY DAHANUKAR COLONY,KOTHRUD,ANNABHAU SATHE CHOWK,24M DP ROAD,NOT DECLARED, , ,821,14457.57673,"S.NO.83, 164",PRIVATE + PMC + STATE GOVT,TENABLE,RESIDENTIAL ZONE,4926,NO,0305,KOTH2802,74,574.4717303,14457.57673, ,568
216,192,1205152803,S.NO.425 426 427 INDIRA NAGAR GULTEKADI,479,CA-1,15 BIBVEWADI,28 SALISBURY PARK MAHARSHI NAGAR,TPS-III,JAWAHARLAL NEHRU ROAD GUKTEKADI,18M 24M DP ROAD,DECLARED,MGG 03/12/1987 Pg 2872,39800 SQM,2200,44031.03142,"FP.NO.427D/4, 427D/3, 427D-B2, 427D/2, 427E, 427/E AS PER TABLE 1",PRIVATE + PMC,UNTENABLE,EWS ZONE DP ROAD RECREATIONAL COMMERCIAL T & T PSP ZONE,13200,PRAPOSAL SUBMITTED BY MEFEYAR DEVELOPOERS & SAMYAK GRUHANIRMAN,1004,SAHA6601,74,1268.266317,44031.03142, ,500
217,193,1203073506,S.NO.47 TAWARE COLONY SANT NAGAR,231,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,TAWARE COLONY,24M DP ROAD,DECLARED,MGG 31/10/1984 Pg 2,7180 SQM,285,14624.84332,S.NO.47,PRIVATE + PMC,TENABLE,RESERVATION HS-5 PS-21,1710,PRAPOSAL SUBMITTED BY RAJ & PARMAR DEVELOPERS,1006,SAHA6713,76,591.4849639,14624.84332, ,195
218,194,1203073522,TANGEWALA PARVATI,247,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,BEHIND VIDYA VIKAS VIDYALAYA,INTERNAL ROAD,NOT DECLARED, , ,47,6517.413864,S.NO.80,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE DP ROAD,282,NO,1024,SAHA6712,82,621.3737972,6517.413864, ,72
219,195,1205132915,S.NO.93(P) LAXMI NAGAR MAHATMA PHULE VASAHAT,409,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,LAXMI NAGAR MAHATMA PHULE VASAHAT,18M DP ROAD,DECLARED,7/28/1983,7439,342,8545.465725,"FP.NO.513, 513A",DEVASTHAN,TENABLE,RESERVATION EWS-38 MODIFIED (M-2.35) INCLUDED IN RESIDENTIAL ZONE,2052,PRAPOSAL SUBMITTED BY KEDAR ASSOCIATES,1020,SAHA6803,81,405.6781421,8545.465725, ,400
220,196,1205153601,AMBEDKAR NAGAR GULTEKADI,481,CA-1,15 BIBVEWADI,36 MARKET YARD LOWER INDIRA NAGAR,BIBVEWADI,MARKET YARD,INTERNAL ROAD,DECLARED,MGG 11/06/1992 Pg 1109,43000 SQM,2296,41790.95983,"S.NO.570
CTS 3204",PRIVATE,TENABLE,EWS ZONE + COMMERCIAL ZONE,13776,NO,1401,BIBE7101,75,831.1397571,41790.95983, ,549
221,197,1205153606,PREM NAGAR MARKET YARD,486,CA-1,15 BIBVEWADI,36 MARKET YARD LOWER INDIRA NAGAR,BIBVEWADI,MARKET YARD,12M DP ROAD,DECLARED,MGG 31/10/1984 Pg 2,18374 SQM,710,20731.6786,"S.NO.561, 690, 562, 571",PRIVATE + PMC + STATE GOVT,UNTENABLE,RESERVATION HOSPITAL DP ROAD,4260,NO,1408,BIBE7103,57,1267.883601,20731.6786, ,342
222,198,1203073519,SHANKAR MAHARAJ MATH DHANAKWADI,244,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,DHANAKWADI,DHANAKWADI,24M DP ROAD,DECLARED,MGG 17/08/1989 Pg 1827,15100 SQM,720,13824.58706,S.NO.14,PRIVATE + PMC,TENABLE,EWS ZONE,4320,PENDING PRAPOSAL BY SHRIVARAD DEVELOPER,1409,BIBE7004,75,536.8935129,13824.58706, ,521
223,199,1203073520,SHANTI NAGAR DHANAKWADI,245,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,DHANAKWADI,TIN HATTI CHOWK DHANAKWADI,24M DP ROAD,DECLARED,MGG 17/08/1989 Pg 1827,15100 SQM,120,3407.696732,S.NO.14,PMC,TENABLE,EWS ZONE,720,NO,1410,BIBE7005,88,307.0796666,3407.696732, ,352
224,200,1202050706,JANWADI GOKHALE NAGAR,157,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,BHAMBHURDA,JANWADI GOKHALE NAGAR,24M DP ROAD,DECLARED,MGG 30/01/1986 Pg 360,21831 SQM,273,23191.41092,S.NO.101/2A,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,1638,NO,0212,GHOL1102,74,615.7444667,23191.41092, ,118
225,201,1202050705,JANWADI DHARMA NAGAR,156,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,BHAMBHURDA,JANWADI ROAD,24M DP ROAD,DECLARED,MGG 30/01/1986 Pg 360,21831 SQM,138,6139.370347,S.NO.101/2A,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,828,NO,0211,GHOL1101,75,374.2092191,6139.370347, ,225
226,202,1202051418,SHIROLE VASTI SHIVAJI NAGAR,194,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,SHIROLE ROAD,18M DP ROAD SHIROLE ROAD,DECLARED,MGG 23/02/1984 Pg 820,10371 SQM,283,2726.626452,"FP.NO.567/1, 567/4",PRIVATE,TENABLE,EWS ZONE,1698,NO,0243,GHOL2410,83,244.3698905,2726.626452, ,1038
227,203,1202051408,KAMGAR PUTALA SHIVAJI NAGAR,184,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,SHIVAJINAGAR COURT,24M DP ROAD,DECLARED,MGG 08/12/1983 Pg 3314,3085.71 SQM,504,9085.214891,"FP.NO.806, 806A (CTS No 10 BHAMBURDA)",PRIVATE,TENABLE,RESIDENTIAL ZONE + DP ROAD,3024,PRAPOSAL SUBMITTED BY ISHWAR CONSTRUCTION,0219,GHOL2404,60,431.6680582,9085.214891, ,555
228,204,1202051402,CTS.NO.925 GAJAMAL WADI SHIVAJI NAGAR,178,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,BEHIND DEENDAYAL HOSPITAL,CANAL ROAD,DECLARED,MGG 03/12/1987 Pg 2872,655 SQM,27,2640.968754,FP.NO.309B3 CTS NO 925B3,PRIVATE,TENABLE,RESIDENTIAL ZONE,162,NO,0207,GHOL2401,86,204.0065917,2640.968754, ,102
229,205,1202051409,KENJALE BANGALA SHIVAJI NAGAR,185,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,FURGUSSON COLLEGE ROAD,30M FURGUSSON COLLEGE ROAD,NOT DECLARED, , ,43,4178.949428,"FP.NO.507A, 507B & 507 part ROAD (CTS 1131)",PRIVATE,TENABLE,EWS ZONE,258,NO,0221,GHOL1202,80,251.4204514,4178.949428, ,103
230,206,1203091308,KHILARE VASTI PLOT NO.17 KATARIYA PLOT,291,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,TPS-I,HOMEOPATHIC COLLEGE,INTERNAL LAYOUT ROAD,DECLARED,MGG 01/05/1980 Pg 1299,3882.93 SQM,150,5318.186231,"FP.NO.15A, 17A, 19",PRIVATE,TENABLE,EWS ZONE,900,NO,0225,GHOL3603,83,347.0850643,5318.186231, ,282
231,207,1202051403,HANUMAN NAGAR JUNI WADAR WADI SHIVAJI NAGAR,179,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,SHETAKI MAHAMANDAL,INTERNAL ROAD,DECLARED,MGG 05/07/1984 Pg,_____ SQM,72,976.381541,"FP.NO.337, 338",PRIVATE,COMPLETED,RESIDENTIAL ZONE,432,SRA SCHEME COMPLETED BY KEDAR ASSOCIATES,0208,GHOL2502,86,126.9843744,976.381541, ,737
232,208,1204123802,NEW SLUM BELOW KATRAJ LAKE,372,CA-1,12 KONDHWA YEVALEWADI,38 RAJIV GANDHI PARK BALAJI NAGAR,KATRAJ,KATRAJ LAKE,NO ACCESS ROAD,NOT DECLARED, , ,70,1366.031106,"S.NO.145, 146",PRIVATE,UNTENABLE,PARK ZONE,420,NO,1303,DHAN7603,52,205.1495029,1366.031106, ,512
233,209,1201010303,JAIPRAKASH NAGAR YERAWADA,3,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,YERAWADA,AIRPORT ROAD,INTERNAL LAYOUT ROAD,DECLARED,MGG 30/01/1986 Pg 360,6270 SQM,692,16869.83781,S.NO.103(PT),PRIVATE + STATE GOVT,TENABLE,EWS ZONE,4152,NO,0708,NAGA1703,73,574.0192358,16869.83781, ,410
234,210,1201010305,SIDHARTHA NAGAR NAGAR ROAD,5,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,YERAWADA,NAGAR ROAD,30M DP ROAD,DECLARED,MGG 31/10/1984 Pg 2,7790 SQM,183,5127.434023,"S.NO.204, 205A",PRIVATE,TENABLE,EWS ZONE,1098,PRAPOSAL SUBMITTED BY LUNKAD REALITIES,0716,NAGA0302,80,293.2548936,5127.434023, ,357
235,211,1201010307,WEKFIELD DALIT MITRA MANDAL YERAWADA,7,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,WADGAONSHERI,NAGAR ROAD,15M DP ROAD,DECLARED,MGG 28/07/1973 Pg ---,------ SQM,453,14051.02065,"S.NO.30, 31",PRIVATE + PMC,TENABLE,EWS ZONE DP ROAD,2718,NO,0719,NAGA0304,79,479.8391319,14051.02065, ,322
236,212,1201010306,SURYA NAGAR JOLY STEEL YERAWADA,6,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,WADGAONSHERI,BEHIND WEIKFIELD,18M DP ROAD,NOT DECLARED, , ,55,2016.105005,S.NO.32,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,330,NO,0718,NAGA0303,79,206.8659539,2016.105005, ,273
237,213,1201010301,BARAMASHEL INDIRA NAGAR YERAWADA,1,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,LOHAGAON,AIRPORT ROAD,30M DP ROAD,NOT DECLARED, , ,755,23979.24929,S.NO.242,DEFENCE,TENABLE,EWS ZONE DP ROAD,4530,NO,0606,SANG0101,74,739.0089478,23979.24929, ,315
238,214,1204102302,MAHATMA PHULE GADITAL HADAPSAR,329,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,GADITAL HADAPSAR,45M DP ROAD,DECLARED,MGG 03/12/1987 Pg 2872,6066 SQM,400,12112.03595,S.NO.10/3B,STATE GOVT,TENABLE,CANAL EMBANKMENT,2400,NO,1212,HADA4401,89,725.8097488,12112.03595, ,330
239,215,1204102308,VETAL BABA HADAPSAR,335,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,VETAL BABA HADAPSAR,20M DP ROAD,DECLARED,MGG 03/12/1987 Pg 2872,6330 SQM,485,20037.5122,"S.NO.4, 5",PRIVATE + STATE GOVT + FOREST,UNTENABLE,CANAL EMBANKMENT DP ROAD GLIDING CENTER,2910,NO,1229,HADA4406,55,971.6922809,20037.5122, ,242
240,216,1204102206,KALUBAI NAGAR HADAPSAR,314,CA-1,10 HADAPSAR MUNDHWA,22 MUNDHWA MAGARPATTA CITY,HADAPSAR,SADHANA VIDYALAYA,12M DP ROAD,DECLARED,MGG 08/12/1983 Pg 3349,55500 SQM,475,19058.01456,"S.NO.165B, NEW CTS1530",PMC + STATE GOVT,TENABLE,EWS ZONE,2850,NO,1209,HADA4304,82,659.3661066,19058.01456, ,249
241,217,1204112403,GOSAVI VASTI S.NO.106A HADAPSAR,343,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,HADAPSAR TP SCHEME,20M DP ROAD,DECLARED,MGG 10/08/1978 Pg 1758,2820 SQM,1359,48944.47979,S.NO.106A,PRIVATE + PMC + STATE GOVT,TENABLE,EWS ZONE + RESERVATION IC-8 + CANAL 20M DP ROAD,8154,NO,1205,HADA4202,73,1300.546404,48944.47979, ,278
242,218,1201032113,KAVADE VASTI,97,CA-3,03 DHOLE PATIL,21 KOREGAON PARK GHORPADI,GHORPADI,KALYANI STEEL,24M DP ROAD,DECLARED,MGG 23/07/1992 Pg 1441,4800 SQM,214,5575.000575,S.NO.48,PRIVATE,TENABLE,RESIDENTIAL ZONE,1284,NO,1515,KOND4109,81,484.1034589,5575.000575, ,384
243,219,1204112414,SHANTI NAGAR RAM TEKADI,354,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,RAMTEKADI,NO ACCESS ROAD,NOT DECLARED, , ,393,10108.11243,"S.NO.110/1, 109, 110A, 110B",STATE GOVT + FOREST,UNTENABLE,HILL & FOREST ZONE,2358,NO,1529,KOND4607,56,706.7020983,10108.11243, ,389
244,220,1204112409,MANGARIN BAI CHAWL RAM TEKADI,349,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M DP ROAD,NOT DECLARED, , ,256,11008.90131,"S.NO.110A, 111",PRIVATE + STATE GOVT,TENABLE,PSP ZONE EWS ZONE,1536,NO,1519,KOND4604,69,554.1203476,11008.90131, ,233
245,221,1204112402,ANNABHAU SATHE NAGAR RAM TEKADI,342,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,RAMTEKADI,30M DP ROAD,NOT DECLARED, , ,962,31463.73486,"S.NO.109, 110A, 110B, 110/2",PRIVATE + STATE GOVT + FOREST,TENABLE,EWS ZONE,5772,NO,1502,KOND4602,68,1038.403092,31463.73486, ,306
246,222,1204102301,GARUD VASTI HADAPSAR,328,CA-1,10 HADAPSAR MUNDHWA,23 HADPSAR GAOTHAN SATAVWADI,HADAPSAR,NEW CANAL HADAPSAR,INTERNAL ROAD,NOT DECLARED, , ,35,4203.765951,S.NO.79,PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,210,NO,1204,HADA4201,79,375.0696043,4203.765951, ,83
247,223,1204112411,MIREKAR VASTI SHANKAR VASTI TUPE PATIL,351,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M 20M DP ROAD,NOT DECLARED, , ,219,14784.3407,"S.NO.106A, 86",PRIVATE,TENABLE,RESIDENTIAL ZONE DP ROAD,1314,NO,1217,HADA4207,69,512.5357831,14784.3407, ,148
